Time (s),RMS Current (A),Peak Current (A),Min Current (A)
0.128436,0.038798,0.007852,-0.043199
0.128450,0.043199,-0.043199,-0.043199
0.128465,0.043199,-0.043199,-0.043199
0.128479,0.053932,0.007852,-0.094251
0.128494,0.050475,0.007852,-0.094251
0.128509,0.038798,0.007852,-0.043199
0.128523,0.053932,0.007852,-0.094251
0.128538,0.117367,-0.094251,-0.145302
0.128552,0.163358,-0.094251,-0.247404
0.128567,0.099425,0.058903,-0.145302
0.128581,0.144054,-0.043199,-0.196353
0.128596,0.095937,-0.043199,-0.196353
0.128610,0.190022,-0.145302,-0.247404
0.128625,0.125936,-0.043199,-0.196353
0.128639,0.180499,-0.043199,-0.349506
0.128653,0.136626,-0.094251,-0.145302
0.128667,0.082207,0.007852,-0.145302
0.130017,0.149785,0.058903,-0.298455
0.130035,0.068359,-0.043199,-0.094251
0.130051,0.077951,-0.043199,-0.094251
0.130066,0.050475,0.007852,-0.094251
0.130080,0.053558,0.058903,-0.094251
0.130095,0.053932,0.007852,-0.094251
0.130110,0.161009,-0.043199,-0.349506
0.130125,0.095516,0.161005,-0.094251
0.130139,0.033829,0.007852,-0.043199
0.130154,0.033829,0.007852,-0.043199
0.130169,0.059919,0.058903,-0.094251
0.130183,0.033829,0.007852,-0.043199
0.130198,0.043199,-0.043199,-0.043199
0.130212,0.046764,0.007852,-0.094251
0.130227,0.043199,-0.043199,-0.043199
0.130241,0.038798,0.007852,-0.043199
0.130255,0.042731,0.007852,-0.094251
0.130269,0.038798,0.007852,-0.043199
0.130283,0.033829,0.007852,-0.043199
0.130298,0.043199,-0.043199,-0.043199
0.131643,0.042731,0.058903,-0.043199
0.131661,0.053558,0.058903,-0.094251
0.131676,0.053932,0.007852,-0.094251
0.131691,0.033829,0.007852,-0.043199
0.131706,0.062537,0.109954,-0.043199
0.131720,0.053932,0.007852,-0.094251
0.131735,0.089445,0.161005,-0.043199
0.131750,0.132752,0.161005,0.109954
0.131765,0.149915,0.212056,0.058903
0.131779,0.103570,0.161005,0.007852
0.131793,0.101813,0.109954,0.058903
0.131808,0.052801,0.058903,0.007852
0.131822,0.067172,0.109954,0.007852
0.131836,0.061891,0.109954,0.007852
0.131850,0.126091,0.161005,0.058903
0.131864,0.027990,0.007852,-0.043199
0.131879,0.042731,0.058903,-0.043199
0.131893,0.152567,0.314159,-0.043199
0.131907,0.043199,-0.043199,-0.043199
0.131921,0.053932,0.007852,-0.094251
0.147468,0.027990,0.007852,-0.043199
0.147491,0.038798,0.007852,-0.043199
0.147507,0.095937,-0.043199,-0.196353
0.147522,0.057180,-0.043199,-0.094251
0.147537,0.027990,0.007852,-0.043199
0.147552,0.038798,0.007852,-0.043199
0.147566,0.065666,0.007852,-0.094251
0.147580,0.053932,0.007852,-0.094251
0.147595,0.056827,0.058903,-0.094251
0.147609,0.050475,0.007852,-0.094251
0.147624,0.038798,0.007852,-0.043199
